id,id_paper,name
0,0,Wu Shin-Ting
1,0,O. Alessio
2,1,H. Lopes
3,1,J.B. Oliveira
4,1,L.H. De Figueiredo
5,2,W.M. Lira
6,2,P.R. Cavalcanti
7,2,L.C.G. Coelho
8,2,L.F. Martha
9,3,M.G. Marquez
10,3,Wu Shin-Ting
11,3,R.M. Da Silva
12,4,L.S. Oliveira
13,4,R. Sabourin
14,4,F. Bortolozzi
15,4,C.Y. Suen
16,5,J.S. Sanchez
17,5,R. Barandela
18,5,R. Alejo
19,5,A.I. Marques
20,6,R. Barandela
21,6,M. Juarez
22,7,M. Brun
23,7,J. Barrera
24,7,N.S.T. Hirata
25,7,N.W. Trepode
26,7,D. Dantas
27,7,R. Terada
28,8,A. Cunha
29,8,R. Teixeira
30,8,L. Velho
31,9,C.B.R. Ferreira
32,9,D.L. Borges
33,10,J.J.G. Leandro
34,10,Jr. Cesar
35,10,H.F. Jelinek
36,11,A. Conc
37,11,E.D.O. Nunes
38,12,R.A. Lotufo
39,12,F.A. Zampirolli
40,13,M. Brun
41,13,R. Hirata
42,13,J. Barrera
43,13,E.R. Dougherty
44,14,R. Hirata
45,14,J. Barrera
46,14,R.F. Hashimoto
47,14,D.O. Dantas
48,15,F.C. Flores
49,15,R.D.A. Lotufo
50,16,C.T. Pozzer
51,16,S.R.M. Pellegrino
52,17,E.W.G. Clua
53,17,M. Dreux
54,17,B. Feijo
55,18,L. Velho
56,18,K. Perlin
57,18,Lexing Ying
58,18,H. Biermann
59,19,P. Pires
60,19,J. Pereira
61,20,A.O. Zaid
62,20,C. Olivier
63,20,O. Alata
64,20,F. Marmoiton
65,21,C.R. Jung
66,21,J. Schacanski
67,22,Jun Zhang
68,22,Jiegu Li
69,22,Ling Zhang
70,23,L.M.G. Goncalves
71,23,M. Kallmann
72,23,D. Thalmann
73,24,R. Lemos
74,24,M. Epstein
75,24,W. Herzog
76,24,B. Wyvill
77,25,A. de Lima Bicho
78,25,A.B. Raposo
79,25,L.P. Magalhaes
80,26,F.R. Miranda
81,26,J.E. Kogler
82,26,M.L. Netto
83,26,E. Del Moral Hernandez
84,27,I.D.O. Matias
