id,id_paper,reference
0,4,"P. J. Neugebauer and K. Klein, ""Texturing 3d models of real world objects from multiple unregistered photographic views"", Computer Graphics Forum, vol. 18, no. 3, pp. 245-256, 1999."
1,4,"K. Matsushita and T. Kaneko, ""Efficient and handy texture mapping on 3d surfaces"", Comput. Graph. Forum, vol. 18, no. 3, pp. 349-358, 1999."
2,4,"H. P. A. Lensch, W. Heidrich and H.-P. Seidel, ""A silhouette-based algorithm for texture registration and stitching"", Graphical Models, vol. 63, no. 4, pp. 245-262, 2001."
3,4,"L. Liu, I. Stamos, G. Yu, G. Wolberg and S. Zokai, ""Multiview geometry for texture mapping 2d images onto 3d range data"", CVPR '06: Proceedings of the 2006 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, pp. 2293-2300, 2006."
4,4,"M. Corsini, M. Dellepiane, F. Ponchio and R. Scopigno, ""Image-to-geometry registration: a mutual information method exploiting illumination-related geometric properties"", Computer Graphics Forum, vol. 28, no. 7, pp. 1755-1764, 2009."
5,4,"R. Gal, Y. Wexler, E. Ofek, H. Hoppe and D. Cohen-Or, ""Seamless montage for texturing models"", Computer Graphics Forum (Eurographics), vol. 29, no. 2, pp. 479-486, 2010."
6,4,"M. Callieri, P. Cignoni, M. Corsini and R. Scopigno, ""Masked photo blending: mapping dense photographic dataset on high-resolution 3d models"", Computer & Graphics, vol. 32, no. 4, pp. 464-473, Aug 2008."
7,4,"N. Bannai, A. Agathos and R. B. Fisher, ""Fusing multiple color images for texturing models"", Proceedings of the 3D Data Processing Visualization and Transmission 2nd International Symposium ser. 3DPVT '04, pp. 558-565, 2004, [online] Available: http://dx.doi.org/10.1109/3DPVT.2004.67."
8,4,"M. Chuang, L. Luo, B. J. Brown, S. Rusinkiewicz and M. Kazhdan, ""Estimating the laplace-beltrami operator by restricting 3d functions"", Proceedings of the Symposium on Geometry Processing, pp. 1475-1484, July 2009."
9,4,"M. Dellepiane, R. Marroquim, M. Callieri, P. Cignoni and R. Scopigno, ""Flow-based local optimization for image-to-geometry projection"", IEEE Transactions on Visualization and Computer Graphics, vol. 99, no. PrePrints, 2011."
10,4,"D. DeCarlo, A. Finkelstein, S. Rusinkiewicz and A. Santella, ""Suggestive contours for conveying shape"", ACM Trans. Graph, vol. 22, pp. 848-855, July 2003."
11,4,"J. Canny, ""A computational approach to edge detection"", IEEE Trans. Pattern Anal. Mach. Intell., vol. 8, pp. 679-698, November 1986."
12,4,"K. Madsen, H. B. Nielsen and O. Tingleff, ""Methods for non-linear least squares problems"", Richard Petersens Plads Building 321 DK-2800 Kgs. Lyngby, pp. 60, 2004."
13,4,"P. F. Felzenszwalb and D. P. Huttenlocher, ""Distance transforms of sampled functions"", Cornell Computing and Information Science Tech. Rep., 2004, [online] Available: http://hdl.handle.net/1813/5663."
14,4,"G. Guennebaud, B. Jacob et al., ""Eigen v3"", 2010, [online] Available: http://eigen.tuxfamily.org."
15,4,"P. J. Neugebauer and K. Klein, ""Texturing 3d models of real world objects from multiple unregistered photographic views"", Computer Graphics Forum, vol. 18, no. 3, pp. 245-256, 1999."
16,4,"K. Matsushita and T. Kaneko, ""Efficient and handy texture mapping on 3d surfaces"", Comput. Graph. Forum, vol. 18, no. 3, pp. 349-358, 1999."
17,4,"H. P. A. Lensch, W. Heidrich and H.-P. Seidel, ""A silhouette-based algorithm for texture registration and stitching"", Graphical Models, vol. 63, no. 4, pp. 245-262, 2001."
18,4,"L. Liu, I. Stamos, G. Yu, G. Wolberg and S. Zokai, ""Multiview geometry for texture mapping 2d images onto 3d range data"", CVPR '06: Proceedings of the 2006 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, pp. 2293-2300, 2006."
19,4,"M. Corsini, M. Dellepiane, F. Ponchio and R. Scopigno, ""Image-to-geometry registration: a mutual information method exploiting illumination-related geometric properties"", Computer Graphics Forum, vol. 28, no. 7, pp. 1755-1764, 2009."
20,4,"R. Gal, Y. Wexler, E. Ofek, H. Hoppe and D. Cohen-Or, ""Seamless montage for texturing models"", Computer Graphics Forum (Eurographics), vol. 29, no. 2, pp. 479-486, 2010."
21,4,"M. Callieri, P. Cignoni, M. Corsini and R. Scopigno, ""Masked photo blending: mapping dense photographic dataset on high-resolution 3d models"", Computer & Graphics, vol. 32, no. 4, pp. 464-473, Aug 2008."
22,4,"N. Bannai, A. Agathos and R. B. Fisher, ""Fusing multiple color images for texturing models"", Proceedings of the 3D Data Processing Visualization and Transmission 2nd International Symposium ser. 3DPVT '04, pp. 558-565, 2004, [online] Available: http://dx.doi.org/10.1109/3DPVT.2004.67."
23,4,"M. Chuang, L. Luo, B. J. Brown, S. Rusinkiewicz and M. Kazhdan, ""Estimating the laplace-beltrami operator by restricting 3d functions"", Proceedings of the Symposium on Geometry Processing, pp. 1475-1484, July 2009."
24,4,"M. Dellepiane, R. Marroquim, M. Callieri, P. Cignoni and R. Scopigno, ""Flow-based local optimization for image-to-geometry projection"", IEEE Transactions on Visualization and Computer Graphics, vol. 99, no. PrePrints, 2011."
25,4,"D. DeCarlo, A. Finkelstein, S. Rusinkiewicz and A. Santella, ""Suggestive contours for conveying shape"", ACM Trans. Graph, vol. 22, pp. 848-855, July 2003."
26,4,"J. Canny, ""A computational approach to edge detection"", IEEE Trans. Pattern Anal. Mach. Intell., vol. 8, pp. 679-698, November 1986."
27,4,"K. Madsen, H. B. Nielsen and O. Tingleff, ""Methods for non-linear least squares problems"", Richard Petersens Plads Building 321 DK-2800 Kgs. Lyngby, pp. 60, 2004."
28,4,"P. F. Felzenszwalb and D. P. Huttenlocher, ""Distance transforms of sampled functions"", Cornell Computing and Information Science Tech. Rep., 2004, [online] Available: http://hdl.handle.net/1813/5663."
29,4,"G. Guennebaud, B. Jacob et al., ""Eigen v3"", 2010, [online] Available: http://eigen.tuxfamily.org."
30,5,"G. M. Hunter, ""Computer animation survey"", Computers and Graphics, vol. 2, pp. 225-229, 1977."
31,5,"J. Lasseter, Principles of traditional animation applied to 3d computer animation, pp. 263-272, 1998."
32,5,"E. Catmull, ""The problems of computer-assisted animation"", Siggraph, vol. 12, no. 3, pp. 348-353, 1978."
33,5,"H. Bezerra, L. Velho and B. Feijό, ""A computer-assited colorization algorithm based on topological differences"", Sibgrapi, pp. 121-127, 2006."
34,5,"C.-W. Chang and S.-Y. Lee, ""Automatic cel painting in computer-assisted cartoon production using similarity recognition"", The Journal of Visualization and Computer Animation, 1998."
35,5,"G. Salembier, L. Garrido, P. Salembier and J. R. Casas, ""Representing and retrieving regions using binary partition trees"", International Conference on Image Processing, 1999."
36,5,"M. A. de Carvalho and R. D. A. Lotufo, ""Hierarchical regions matching in image sequences through association graph"", Sibgrapi, pp. 396-404, 2001."
37,5,"M. A. Carvalho, M. Couprie and R. de Alencar Lotufo, ""Image segmentation by analysis of scale-space"", Sibgrapi, pp. 403-411, 2002."
38,5,"T.-P. Wu, J. Sun, C.-K. Tang and H.-Y. Shum, ""Interactive normal reconstruction from a single image"", Siggraph Asia, vol. 27, pp. 119:1-119:9, 2008."
39,5,"B. Horn, Obtaining shape from shading information, pp. 123-171, 1989."
40,5,"T. Igarashi, S. Matsuoka and H. Tanaka, ""Teddy: a sketching interface for 3d freeform design"", Siggraph courses, 2007."
41,5,"R. C. Zeleznik, K. P. Herndon and J. F. Hughes, ""Sketch: an interface for sketching 3d scenes"", Siggraph courses, 2007."
42,5,"B. T. Phong, ""Illumination for computer generated pictures"", Communications of the ACM, vol. 18, pp. 311-317, 1975."
43,5,"S. F. Johnston, ""Lumo: illumination for cel animation"", Non-Photorealistic Animation and Rendering. ACM, pp. 45-ff, 2002."
44,5,"D. Sýkora, D. Sedlacek, S. Jinchao, J. Dingliana and S. Collins, ""Adding depth to cartoons using sparse depth (in)equalities"", Computer Graphics Forum, vol. 29, no. 2, pp. 615-623, 2010."
45,5,"S. Hock and F. Tian, ""Computer-assisted coloring by matching line drawings"", The Visual Computer, vol. 16, no. 5, pp. 289-304, 2000."
46,5,"D. Sykora, J. Burianek and J. Zara, ""Segmentation of black and white cartoons"", Spring Conference on Computer Graphics, pp. 245-254, 2003."
47,5,"D. Sýkora, J. Burianek and J. Zara, ""Unsupervized colorization of black-and-white cartoons"", Non-Photorealistic Animation and Rendering, pp. 121-127, 2004."
48,5,"P. G. Trigo, H. Johan, T. Imagire and T. Nishita, ""Interactive region matching for 2d animation coloring based on features variation"", Ieice Transactions, vol. 92-D, pp. 1289-1295, 2009."
49,5,"Zhang and Suen, ""A fast parallel algorithm for thinning digital patterns"", Communications of the ACM, vol. 27, pp. 236-239, 1984."
50,5,"L. Vandevenne, Lodes computer graphics tutorial flood fill, 2004, [online] Available: http://lodev.org/cgtutor/floodfill.html."
51,5,"J. Parker, Pratical Computer Vision Using C, New York:John Wiley and Sons, 1994."
52,5,"G. M. Hunter, ""Computer animation survey"", Computers and Graphics, vol. 2, pp. 225-229, 1977."
53,5,"J. Lasseter, Principles of traditional animation applied to 3d computer animation, pp. 263-272, 1998."
54,5,"E. Catmull, ""The problems of computer-assisted animation"", Siggraph, vol. 12, no. 3, pp. 348-353, 1978."
55,5,"H. Bezerra, L. Velho and B. Feijό, ""A computer-assited colorization algorithm based on topological differences"", Sibgrapi, pp. 121-127, 2006."
56,5,"C.-W. Chang and S.-Y. Lee, ""Automatic cel painting in computer-assisted cartoon production using similarity recognition"", The Journal of Visualization and Computer Animation, 1998."
57,5,"G. Salembier, L. Garrido, P. Salembier and J. R. Casas, ""Representing and retrieving regions using binary partition trees"", International Conference on Image Processing, 1999."
58,5,"M. A. de Carvalho and R. D. A. Lotufo, ""Hierarchical regions matching in image sequences through association graph"", Sibgrapi, pp. 396-404, 2001."
59,5,"M. A. Carvalho, M. Couprie and R. de Alencar Lotufo, ""Image segmentation by analysis of scale-space"", Sibgrapi, pp. 403-411, 2002."
60,5,"T.-P. Wu, J. Sun, C.-K. Tang and H.-Y. Shum, ""Interactive normal reconstruction from a single image"", Siggraph Asia, vol. 27, pp. 119:1-119:9, 2008."
61,5,"B. Horn, Obtaining shape from shading information, pp. 123-171, 1989."
62,5,"T. Igarashi, S. Matsuoka and H. Tanaka, ""Teddy: a sketching interface for 3d freeform design"", Siggraph courses, 2007."
63,5,"R. C. Zeleznik, K. P. Herndon and J. F. Hughes, ""Sketch: an interface for sketching 3d scenes"", Siggraph courses, 2007."
64,5,"B. T. Phong, ""Illumination for computer generated pictures"", Communications of the ACM, vol. 18, pp. 311-317, 1975."
65,5,"S. F. Johnston, ""Lumo: illumination for cel animation"", Non-Photorealistic Animation and Rendering. ACM, pp. 45-ff, 2002."
66,5,"D. Sýkora, D. Sedlacek, S. Jinchao, J. Dingliana and S. Collins, ""Adding depth to cartoons using sparse depth (in)equalities"", Computer Graphics Forum, vol. 29, no. 2, pp. 615-623, 2010."
67,5,"S. Hock and F. Tian, ""Computer-assisted coloring by matching line drawings"", The Visual Computer, vol. 16, no. 5, pp. 289-304, 2000."
68,5,"D. Sykora, J. Burianek and J. Zara, ""Segmentation of black and white cartoons"", Spring Conference on Computer Graphics, pp. 245-254, 2003."
69,5,"D. Sýkora, J. Burianek and J. Zara, ""Unsupervized colorization of black-and-white cartoons"", Non-Photorealistic Animation and Rendering, pp. 121-127, 2004."
70,5,"P. G. Trigo, H. Johan, T. Imagire and T. Nishita, ""Interactive region matching for 2d animation coloring based on features variation"", Ieice Transactions, vol. 92-D, pp. 1289-1295, 2009."
71,5,"Zhang and Suen, ""A fast parallel algorithm for thinning digital patterns"", Communications of the ACM, vol. 27, pp. 236-239, 1984."
72,5,"L. Vandevenne, Lodes computer graphics tutorial flood fill, 2004, [online] Available: http://lodev.org/cgtutor/floodfill.html."
