id,id_author,university
0,0,"University College London, London, London, GB"
1,1,"UFMG, Belo Horizonte, Brazil"
2,2,"Washington Univ. in St. Louis, St. Louis, MO, USA"
3,3,"Univ. of Waterloo, Waterloo, ON, Canada"
4,4,"University of Bern, Switzerland"
5,5,"University of Bern, Switzerland"
6,6,"Inselspital, Switzerland"
7,7,"Inselspital, Switzerland"
8,8,"Universidade Federal do Espirito Santo, Vitoria, ES, BR"
9,9,"Universidade Federal do Espirito Santo, Vitoria, ES, BR"
10,10,"Dept. of Appl. Comput. (DCOM), Universidade Federal de Santa Maria, Santa Maria, RS, BR"
11,11,"Department of Applied Computing (DCOM), Federal University of Santa Maria, Santa Maria, Brazil"
12,12,"Department of Computer Science, University Of Calgary, Canada"
13,13,"Department of Computer Science, University Of Calgary, Canada"
14,14,"Department of Computer Science, University Of Calgary, Canada"
15,15,"IMPA, Instituto Nacional de Matemática Pura e Aplicada, Brazil"
16,16,"IMPA Inst. Nac. de Mat. Pura e Aplic., Brazil"
17,17,"Instituto de Ciências Matemáticas e de Computação, University of São Paulo, São Carlos, Brazil"
18,18,"Instituto de Ciências Matemáticas e de Computação, University of São Paulo, São Carlos, Brazil"
19,19,"Instituto de Ciências Matemáticas e de Computação, University of São Paulo, São Carlos, Brazil"
20,20,"Universidade de Sao Paulo, Sao Paulo, SÃ£o Paulo, BR"
21,21,"Instituto de Informática, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil"
22,22,"Instituto de Informática, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil"
23,23,"Dept. of Comput. Eng. & Ind. Autom., Universidade Estadual de Campinas, Campinas, SP, BR"
24,24,"Dept. of Computer Engineering and Industrial Automation, University of Campinas, SP, Brazil"
25,25,"Dept. of Computer Engineering and Industrial Automation, University of Campinas, SP, Brazil"
26,26,"Department of Neurology, University of Campinas, SP, Brazil"
27,27,"Department of Neurology, University of Campinas, SP, Brazil"
28,28,"Department of Neurology, University of Campinas, SP, Brazil"
29,29,"UFRGS, Instituto de Informática, Porto Alegre, Brazil"
30,30,"UFRGS, Instituto de Informática, Porto Alegre, Brazil"
31,31,"Computer Science Department, Federal University of Ouro Preto, Ouro Preto, MG, Brazil"
32,32,"Computer Science Department, Universidade Federal de Ouro Preto, Ouro Preto, MG, BR"
33,33,"Universidade de Sao Paulo, Sao Paulo, SÃ£o Paulo, BR"
34,34,"ICMC, USP, São Carlos"
35,35,"Dept. of Mathematics, UFES, Vitória"
36,36,"FACOM, UFMS, Campo Grande"
37,37,"ICMC, USP, São Carlos"
38,38,"Department of Theoretical and Applied Sciences, University of Insubria, Varese, Italy"
39,39,"Department of Theoretical and Applied Sciences, University of Insubria, Varese, Italy"
40,40,"Department of Theoretical and Applied Sciences, University of Insubria, Varese, Italy"
41,41,"TU Braunschweig, Braunschweig, Germany"
42,42,"TU Braunschweig, Braunschweig, Germany"
43,43,"TU Braunschweig, Braunschweig, Germany"
44,44,"COPPE, Laboratório de Computação Gráfica (LCG)"
45,45,"COPPE, Laboratório de Computação Gráfica (LCG)"
46,46,"COPPE, Laboratório de Computação Gráfica (LCG)"
47,47,"Department of Electronics and Computer Engineering, Hanyang University, Seoul, Korea"
48,48,"Department of Electronics and Computer Engineering, Hanyang University, Seoul, Korea"
49,49,"Department of Embedded Systems Engineering, Incheon National University, Incheon, Korea"
50,50,"Universidade Federal de Santa Maria, Santa Maria, RS, BR"
51,51,"Universidade Federal de Santa Maria, Santa Maria, Brazil"
52,52,"Universidade Federal de Santa Maria, Santa Maria, Brazil"
53,53,"Universidade Federal da Fronteira Sul, Chapecó, Brazil"
54,54,"FACOM - UFMS, Campo Grande, MS, Brazil"
55,55,"Institute of Computing, University of Campinas, Campinas, SP, Brazil"
56,56,"FACOM - UFMS, Campo Grande, MS, Brazil"
57,57,"Departamento de Computação, Universidade Federal do Piauí, Teresina, PI, Brasil"
58,58,"Departamento de Computação, Universidade Federal do Piauí, Teresina, PI, Brasil"
59,59,"Departamento de Computação, Universidade Federal do Piauí, Teresina, PI, Brasil"
60,60,"Dept. de Comput., Universidade Federal do Piaui, Teresina, PiauÃ­, BR"
61,61,"University of Western São Paulo - (UNOESTE), Presidente Prudente, Brazil"
62,62,"University of the Andes, Santiago, Chile"
63,63,"São Paulo State University - (UNESP), Bauru, Brazil"
64,64,"Department of Mathematics, PUC-Rio, Rio de Janeiro, Brazil"
65,64,"LIX, École Polytechnique, Paris, France"
66,64,"UFAL, Institute of Mathematics, Maceió, Brazil"
67,65,"UFAL, Institute of Mathematics, Maceió, Brazil"
68,66,"LIX, École Polytechnique, Paris, France"
69,67,"Department of Mathematics, PUC-Rio, Rio de Janeiro, Brazil"
70,68,"Departamento de Sistemas de Informação, Universidade Federal do Piauí – UFPI, Picos, Brasil"
71,69,"Departamento de Computação, Universidade Federal do Piauí – UFPI, Teresina, Brasil"
72,70,"Departamento de Computação, Universidade Federal do Piauí – UFPI, Teresina, Brasil"
73,71,"Department of Computer Science, Federal University of Bahia (UFBA), Bahia, Brazil"
74,72,"Department of Computer Science, Universidade Federal da Bahia, Salvador, BA, BR"
75,73,"Dept. de Cienc. da Comput., Univ. Fed. de Minas Gerais, Brazil"
76,74,"Instituto de Ciências Exatas e Informática, Pontifícia Universidade Católica de Minas Gerais, Belo Horizonte, Brazil"
77,75,"Departamento de Ciência da Computação, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil"
78,76,"Dept. de Cienc. da Comput., Univ. Fed. de Minas Gerais, Brazil"
79,77,"Polytechnic School of Engineering, New York University"
80,78,"Polytechnic School of Engineering, New York University"
81,79,"Polytechnic School of Engineering, New York University"
82,80,"UFRGS, Instituto de Informática"
83,81,AT&T Research
84,82,"Institute of Computing, University of Campinas, Campinas, Brazil"
85,83,"Department of Computer Engineering, Federal Technological University of Parana, Cornelio Procopio, Brazil"
86,83,"Institute of Computing, University of Campinas, Campinas, Brazil"
87,84,"Institute of Computing, University of Campinas, Campinas, Brazil"
88,85,"Inst. of Comput., Universidade Estadual de Campinas, Campinas, SP, BR"
89,86,"Dept. of Comput. Sci., Universidade Federal de Minas Gerais, Belo Horizonte, MG, BR"
90,87,"Department of Systems and Computer Networks, Wroclaw University of Technology, Wroclaw, Poland"
91,88,"Department of Systems and Computer Networks, Wroclaw University of Technology, Wroclaw, Poland"
92,89,"Department of Computer Science, Universidade Federal de Minas Gerais, Belo Horizonte, MG, BR"
