0,GAMES
0,VIDEO GAMES
5,COMPUTER GRAPHICS
5,GRAPHICS
5,RENDERING (COMPUTER GRAPHICS)
5,GRAPHICS
78,MACHINE LEARNING
78,MACHINE LEARNING
78,LEARNING ALGORITHMS
55,THREE-DIMENSIONAL DISPLAYS
101,DATA INTEGRATION
100,URBAN PLANNING
109,HIGH-RISK AREAS
77,3D VISUALIZATION
119,OPENSTREETMAP DATA
57,SHAPE
99,VISUAL ANALYTICS
105,VISUAL ANALYSIS
134,LAND USE CHANGE
134,LAND USE DATA
122,SPATIOTEMPORAL DATA
121,SPATIOTEMPORAL DATASETS
134,LAND USE DATASET
0,GAMES
2,STREAMING MEDIA
5,RENDERING (COMPUTER GRAPHICS)
4,MOTION PICTURES
77,VISUALIZATION
55,THREE-DIMENSIONAL DISPLAYS
31,PIPELINES
153,VISUAL INTERFACE
77,VISUALIZATION TOOL
71,INTERSECTION POINT
5,COMPUTER GRAPHICS
56,MEASUREMENT
80,DECISION MAKING
187,FACE RECOGNITION
185,EARTH MOVER'S DISTANCE
185,EARTH MOVER
188,AUTHENTICATION
192,DEEP LEARNING SYSTEM
187,FACE RECOGNITION PERFORMANCE
5,GRAPHICS
187,FACE RECOGNITION
79,PERTURBATION METHODS
170,COST FUNCTION
189,FEATURE EXTRACTION
187,FACE RECOGNITION
196,NEURAL NETWORK
197,DEEP NEURAL NETWORK
170,COST FUNCTION
215,DATA AUGMENTATION
193,BIOMETRIC SYSTEMS
195,LOSS FUNCTION
214,TRAINING STAGE
221,SINGLE HIDDEN LAYER
214,TRAINING
54,SOLID MODELING
55,THREE-DIMENSIONAL DISPLAYS
187,FACE RECOGNITION
187,FACE RECOGNITION
241,3D FACE RECONSTRUCTION
197,DEEP NEURAL NETWORK
236,POINT CLOUD
61,3D SCANNING
242,AVAILABILITY OF LARGE DATASETS
187,FACE RECOGNITION MODEL
196,CONVOLUTIONAL NEURAL NETWORK
187,FACE RECOGNITION TASK
251,2D DATA
236,POINT CLOUD COMPRESSION
56,MEASUREMENT
55,THREE-DIMENSIONAL DISPLAYS
99,VISUAL ANALYTICS
105,VISUAL ANALYSIS
236,POINT CLOUD
259,INSTANCE SEGMENTATION
192,DEEP LEARNING TASKS
230,FALSE POSITIVE
269,OBJECT DETECTION
70,BOUNDING BOX
283,MATHEMATICAL SYMBOLS
214,TRAINING SET
196,CONVOLUTIONAL NEURAL NETWORK
192,DEEP LEARNING MODELS
244,GEOMETRIC FEATURES
269,OBJECT DETECTION METHODS
214,TRAINING
1,IMAGE COLOR ANALYSIS
57,SHAPE
196,NEURAL NETWORK
197,DEEP NEURAL NETWORK
214,TRAINING SET
196,CONVOLUTIONAL NEURAL NETWORK
200,FEATURE MAPS
68,ADAM OPTIMIZER
195,CROSS-ENTROPY LOSS FUNCTION
301,FIRE DETECTION
304,IMAGE CLASSIFI-CATION
192,DEEP LEARNING
214,TRAINING
129,FILTERING
196,NEURAL NETWORK
196,CONVOLUTIONAL NEURAL NETWORK
215,DATA AUGMENTATION
196,CONVOLUTIONAL NEURAL NETWORK MODEL
318,WILDLIFE MONITORING
289,VALIDATION SET
214,TRAINING IMAGE PAIRS
158,COMPUTATIONAL MODELING
196,NEURAL NETWORK
196,CONVOLUTIONAL NEURAL NETWORK
351,LONG SHORT-TERM MEMORY NEURAL NETWORK
343,INDUSTRIAL COSTS
84,PREDICTION MODEL
214,TRAINING SET
289,VALIDATION SET
199,CONVOLUTIONAL LAYERS
355,TIME SERIES DATA
345,DATA PROCESSING PIPELINE
214,TRAINING
5,GRAPHICS
355,TIME SERIES ANALYSIS
300,NEURAL NETWORKS
196,NEURAL NETWORK
355,TIME SERIES
304,IMAGE CLASSIFICATION
355,TIME SERIES CLASSIFICATION
375,AMERICAN SIGN LANGUAGE
345,DATA PROCESSING
85,MODEL PERFORMANCE
214,TRAINING SET
196,CONVOLUTIONAL NEURAL NETWORK
349,RECURRENT NEURAL NETWORK
369,IMAGE RECOGNITION
373,SELF-ATTENTION MECHANISM
1,IMAGE COLOR ANALYSIS
321,CAMERAS
34,REAL-TIME SYSTEMS
285,COMPLEXITY THEORY
363,INTERNET
393,TRAFFIC SIGN DETECTION
196,CONVOLUTIONAL NEURAL NETWORK
398,CAMERA INTRINSIC PARAMETERS
196,LIGHTWEIGHT CONVOLUTIONAL NEURAL NETWORK
70,BOUNDING BOX
391,VIDEO SEQUENCES
404,GOOGLE STREET VIEW
77,VISUALIZATION
297,IMAGE SEGMENTATION
129,FILTERING
269,OBJECT DETECTION
321,CAMERAS
414,SIMULTANEOUS LOCALIZATION AND MAPPING
269,OBJECT DETECTION
253,OBJECT SEGMENTATION
420,MONOCULAR IMAGES
214,TRAINING
5,GRAPHICS
189,FEATURE EXTRACTION
435,ANOMALY DETECTION
214,TRAINING PHASE
269,OBJECT DETECTION
70,BOUNDING BOX
189,FEATURE EXTRACTION STEP
299,TRANSFER LEARNING
214,TRAINING
5,GRAPHICS
55,THREE-DIMENSIONAL DISPLAYS
346,DATA MODELS
403,DETECTION MODEL
214,TRAINING FRAMEWORK
230,FALSE POSITIVE
214,TRAINING DATA
419,MONOCULAR
214,TRAINING MODALITIES
321,MULTIPLE CAMERAS
214,DETECTION TRAINING
