0,Games
0,Video Games
5,Computer Graphics
5,Graphics
5,Rendering (computer graphics)
5,Graphics
78,Machine learning
78,Machine Learning
78,Learning Algorithms
55,Three-dimensional displays
101,Data Integration
100,Urban Planning
109,High-risk Areas
77,3D Visualization
119,OpenStreetMap Data
57,Shape
99,Visual analytics
105,Visual Analysis
134,Land Use Change
134,Land Use Data
122,Spatiotemporal Data
121,Spatiotemporal Datasets
134,Land Use Dataset
0,Games
2,Streaming media
5,Rendering (computer graphics)
4,Motion pictures
77,Visualization
55,Three-dimensional displays
31,Pipelines
153,Visual Interface
77,Visualization Tool
71,Intersection Point
5,Computer Graphics
56,Measurement
80,Decision making
187,Face Recognition
185,Earth Mover’s Distance
185,Earth Mover
188,Authentication
192,Deep Learning System
187,Face Recognition Performance
5,Graphics
187,Face recognition
79,Perturbation methods
170,Cost function
189,Feature extraction
187,Face Recognition
196,Neural Network
197,Deep Neural Network
170,Cost Function
215,Data Augmentation
193,Biometric Systems
195,Loss Function
214,Training Stage
221,Single Hidden Layer
214,Training
54,Solid modeling
55,Three-dimensional displays
187,Face recognition
187,Face Recognition
241,3D Face Reconstruction
197,Deep Neural Network
236,Point Cloud
61,3D Scanning
242,Availability Of Large Datasets
187,Face Recognition Model
196,Convolutional Neural Network
187,Face Recognition Task
251,2D Data
236,Point cloud compression
56,Measurement
55,Three-dimensional displays
99,Visual analytics
105,Visual Analysis
236,Point Cloud
259,Instance Segmentation
192,Deep Learning Tasks
230,False Positive
269,Object Detection
70,Bounding Box
283,Mathematical Symbols
214,Training Set
196,Convolutional Neural Network
192,Deep Learning Models
244,Geometric Features
269,Object Detection Methods
214,Training
1,Image color analysis
57,Shape
196,Neural Network
197,Deep Neural Network
214,Training Set
196,Convolutional Neural Network
200,Feature Maps
68,Adam Optimizer
195,Cross-entropy Loss Function
301,fire detection
304,image classifi-cation
192,deep learning
214,Training
129,Filtering
196,Neural Network
196,Convolutional Neural Network
215,Data Augmentation
196,Convolutional Neural Network Model
318,Wildlife Monitoring
289,Validation Set
214,Training Image Pairs
158,Computational modeling
196,Neural Network
196,Convolutional Neural Network
351,Long Short-term Memory Neural Network
343,Industrial Costs
84,Prediction Model
214,Training Set
289,Validation Set
199,Convolutional Layers
355,Time Series Data
345,Data Processing Pipeline
214,Training
5,Graphics
355,Time series analysis
300,Neural networks
196,Neural Network
355,Time Series
304,Image Classification
355,Time Series Classification
375,American Sign Language
345,Data Processing
85,Model Performance
214,Training Set
196,Convolutional Neural Network
349,Recurrent Neural Network
369,Image Recognition
373,Self-attention Mechanism
1,Image color analysis
321,Cameras
34,Real-time systems
285,Complexity theory
363,Internet
393,Traffic Sign Detection
196,Convolutional Neural Network
398,Camera Intrinsic Parameters
196,Lightweight Convolutional Neural Network
70,Bounding Box
391,Video Sequences
404,Google Street View
77,Visualization
297,Image segmentation
129,Filtering
269,Object detection
321,Cameras
414,Simultaneous Localization And Mapping
269,Object Detection
253,Object Segmentation
420,monocular images
214,Training
5,Graphics
189,Feature extraction
435,Anomaly Detection
214,Training Phase
269,Object Detection
70,Bounding Box
189,Feature Extraction Step
299,Transfer Learning
214,Training
5,Graphics
55,Three-dimensional displays
346,Data models
403,Detection Model
214,Training Framework
230,False Positive
214,Training Data
419,Monocular
214,Training Modalities
321,Multiple Cameras
214,Detection Training
5,Graphics
297,Image segmentation
379,Computer vision
300,Neural networks
214,Training data
344,Computer architecture
78,Machine learning
196,Neural Network
214,Training Data
378,Convolutional Network
196,Convolutional Neural Network
297,Image Segmentation
373,Self-attention Mechanism
381,Vision Transformer
382,Transformer Model
214,Training
297,Image segmentation
300,Neural networks
196,Neural Network
300,Artificial Neural Network
497,Inspection Activities
196,Convolutional Neural Network
269,Object Detection
32,Graphics Processing Unit
291,Intersection Over Union
271,Semantic Segmentation
412,Faster R-CNN
259,Instance Segmentation
495,Corrosion Process
418,Mask R-CNN
214,Training
5,Graphics
447,Supervised learning
516,Class Activation Maps
230,False Positive
310,True Positive
403,Detection Model
469,False Negative Rate
214,Training Set
378,Convolutional Network
196,Convolutional Neural Network
199,Convolutional Layers
304,Image Classification
214,Training Phase
441,Multiple Instance Learning
89,Model Interpretation
514,Detection Of Lesions
291,Intersection Over Union
310,High True Positive Rate
304,Medical Image Classification
214,Training
77,Visualization
317,Protocols
346,Data models
531,Robust Information Extraction
214,Training Set
242,Large Datasets
196,Convolutional Neural Network
289,Validation Set
373,Attention Mechanism
70,Bounding Box
214,Joint Training
490,Transformer Encoder
382,Transformer Model
56,Measurement
5,Graphics
192,Deep learning
297,Image segmentation
480,Soybean Cultivars
192,Deep Learning Baselines
340,Input Image
378,Pre-trained Convolutional Network
290,Public Datasets
480,Soybean Seeds
196,Pre-trained Convolutional Neural Network
555,Linear Discriminant Analysis Classifier
214,Training
5,Graphics
237,Adaptation models
215,Data augmentation
196,Convolutional neural networks
434,Task analysis
561,Open Set Domain Adaptation
196,Convolutional Neural Network
215,Data Augmentation
222,Negative Samples
533,Generative Adversarial Networks
227,Unknown Samples
447,Self-supervised Learning
568,Target Domain Samples
564,Domain Shift Problem
5,Graphics
192,Deep learning
54,Solid modeling
379,Computer vision
284,Fourier transforms
346,Data models
364,Fourier Transform
378,Convolutional Network
