Name,title,gender,IA
I.B. Fernandes,A Bucket LBVH Construction and Traversal Algorithm for Volumetric Sparse Data,M,S
R. Hirata,Optimizing Super Resolution for Face Recognition,M,S
F. Betul Atalay,Convex Hull for Probabilistic Points,F,S
R. L. Parente,Assessing Facial Image Accordance to ISO/ICAO Requirements,NULL,S
K. Otiniano-Rodríguez,Finger Spelling Recognition Using Kernel Descriptors and Depth Images,M,S
G. Cámara-Chávez,Finger Spelling Recognition Using Kernel Descriptors and Depth Images,M,S
H. Cumhur Tekin,Portable Digital in-Line Holography Platform for Sperm Cell Visualization and Quantification,M,S
G. Chiachia,Vehicle License Plate Recognition With Random Convolutional Networks,M,S
V. J. Oliveira Neto,Vehicle License Plate Recognition With Random Convolutional Networks,M,S
K. Otiniano Rodríguez,Finger Spelling Recognition from RGB-D Information Using Kernel Descriptor,M,S
G. Cámara Chávez,Finger Spelling Recognition from RGB-D Information Using Kernel Descriptor,M,S
R. Y. M. Nakamura,BBA: A Binary Bat Algorithm for Feature Selection,M,S
K. A. Costa,BBA: A Binary Bat Algorithm for Feature Selection,M,S
X.-S. Yang,BBA: A Binary Bat Algorithm for Feature Selection,M,S
V. F. Mota,A Tensor Based on Optical Flow for Global Description of Motion in Videos,M,S
F. Precioso,A Tensor Based on Optical Flow for Global Description of Motion in Videos,M,S
P. H. Gosselin,A Tensor Based on Optical Flow for Global Description of Motion in Videos,M,S
F. Faria,Improving Image Classification through Descriptor Combination,M,S
R. da S. Torres,Improving Image Classification through Descriptor Combination,M,S
Jianjiang Feng,Latent Fingerprint Matching: Fusion of Manually Marked and Derived Minutiae,M,S
F. Brayner,Compression of Synthesized Textures,M,S
Prakash Ishwar,Action Recognition in Video by Covariance Matching of Silhouette Tunnels,M,S
P. B. C. Leite,Crop Type Recognition Based on Hidden Markov Models of Plant Phenology,M,S
R. Q. Feitosa,Crop Type Recognition Based on Hidden Markov Models of Plant Phenology,M,S
G. A. O. P. Costa,Crop Type Recognition Based on Hidden Markov Models of Plant Phenology,M,S
K. Pakzad,Crop Type Recognition Based on Hidden Markov Models of Plant Phenology,M,S
I. D. A. Sanches,Crop Type Recognition Based on Hidden Markov Models of Plant Phenology,F,S
K.A. Hill,Can Bilateral Asymmetry Analysis of Breast MR Images Provide Additional  Information for Detection of Breast Diseases?,F,S
A.L. Martel,Can Bilateral Asymmetry Analysis of Breast MR Images Provide Additional  Information for Detection of Breast Diseases?,F,S
C. D. Maciel,Exploratory Visualization of RFLP-PCR Genomic Data Using Multidimensional Scaling,M,S
H.G. Fernandes,Visually Improved Understanding of Three-Dimensionally Propagating Electromagnetic Fields in Wireless Networks,M,S
M.K. Zuffo,Visually Improved Understanding of Three-Dimensionally Propagating Electromagnetic Fields in Wireless Networks,M,S
J.S. Suri,Non-Extensive Entropy for CAD Systems of Breast Cancer Images,M,S
P.S. Rodrigues,Non-Extensive Entropy for CAD Systems of Breast Cancer Images,M,S
J.S. Suri,Non-Extensive Entropy for CAD Systems of Breast Cancer Images,M,S
P.S. Rodrigues,Non-Extensive Entropy for CAD Systems of Breast Cancer Images,M,S
F.P.G. Bergo,Adapted Dynamic Meshes for Deformable Surfaces,M,S
F. de Goes,Adapted Dynamic Meshes for Deformable Surfaces,M,S
F.P.G. Bergo,Adapted Dynamic Meshes for Deformable Surfaces,M,S
F. de Goes,Adapted Dynamic Meshes for Deformable Surfaces,M,S
G. Bertrand,Euclidean homotopic skeleton based on critical kernels,M,S
G. Camara Chavez,Video Segmentation by Supervised Learning,M,S
F. Precioso,Video Segmentation by Supervised Learning,M,S
G.T. Silva,Image Formation of Multifrequency Vibro-Acoustography: Theory and Computational Simulations,M,S
M.W. Urban,Image Formation of Multifrequency Vibro-Acoustography: Theory and Computational Simulations,M,S
E.S.H. Neto,On the Effect of Relaxation in the Convergence and Quality of Statistical Image Reconstruction for Emission Tomography Using Block-Iterative Algorithms,M,S
A.R. De Pierro,On the Effect of Relaxation in the Convergence and Quality of Statistical Image Reconstruction for Emission Tomography Using Block-Iterative Algorithms,M,S
C.H. Morimoto,Automatic Iris Segmentation Using Active Near Infra Red Lighting,M,S
T.T. Santos,Automatic Iris Segmentation Using Active Near Infra Red Lighting,M,S
A.S. Muniz,Automatic Iris Segmentation Using Active Near Infra Red Lighting,M,S
T. Lewiner,Curvature Motion for Union of Balls,M,S
C.O.L. Ferreira,Curvature Motion for Union of Balls,M,S
R. Teixeira,Curvature Motion for Union of Balls,M,S 
R. Audigier,"Tie-Zone Watershed, Bottlenecks, and Segmentation Robustness Analysis",M,S
R. de Alencar Lotufo,"Tie-Zone Watershed, Bottlenecks, and Segmentation Robustness Analysis",M,S
R. Hirata,A Maximum-Likelihood Approach for Multiresolution W-Operator Design,M,S
P. Sussner,A Brief Account of the Relations between Gray-Scale Mathematical Morphologies,M,S
M.E. Valle,A Brief Account of the Relations between Gray-Scale Mathematical Morphologies,M,S
C.E. Thomaz,A Maximum Uncertainty LDA-Based Approach for Limited Sample Size Problems - With Application to Face Recognition,M,S
D.F. Gillies,A Maximum Uncertainty LDA-Based Approach for Limited Sample Size Problems - With Application to Face Recognition,M,S
P.A.V. Miranda,Object Detection by K-Connected Seed Competition,M,S
F.P.G. Bergo,Object Detection by K-Connected Seed Competition,M,S

F.A. Breve,Combining Methods to Stabilize and Increase Performance of Neural Network-Based Classifiers,M,S
M.P. Ponti,Combining Methods to Stabilize and Increase Performance of Neural Network-Based Classifiers,M,S
N.D.A. Mascarenhas,Combining Methods to Stabilize and Increase Performance of Neural Network-Based Classifiers,M,S
A.N. Marana,Ridge-Based Fingerprint Matching Using Hough Transform,M,S
A.K. Jain,Ridge-Based Fingerprint Matching Using Hough Transform,M,S
P.R. de Andrade Neto,A Linear Algorithm for Exact Pattern Matching in Planar Subdivisions,M,S
A.L.P. Guedes,A Linear Algorithm for Exact Pattern Matching in Planar Subdivisions,M,S
C.R. Jung,An Improved Linear-Parabolic Model for Lane Following and Curve Detection,M,S
C.R. Kelber,An Improved Linear-Parabolic Model for Lane Following and Curve Detection,M,S
P.A.V. Miranda,TSD: A Shape Descriptor Based on a Distribution of Tensor Scale Local Orientation,M,S
R. da S. Torres,TSD: A Shape Descriptor Based on a Distribution of Tensor Scale Local Orientation,M,S
F.J. Ayres,Performance Analysis of Oriented Feature Detectors,NULL,S
C.R. Jung,An adaptive approach to mammographic image denoising and enhancement,M,S
A.O. Silva,Segmentation of clinical structures from images of the human pelvic area,NULL,S
A.N. Freitas,Segmentation of clinical structures from images of the human pelvic area,NULL,S
F.M.O. Freitas,Segmentation of clinical structures from images of the human pelvic area,NULL,S
F. Fernandes,An image-matching approach to protein similarity analysis,NULL,S
C.E.R. Lopes,An image-matching approach to protein similarity analysis,M,S
R.C. de Melo,An image-matching approach to protein similarity analysis,M,S
M.M. Santoro,An image-matching approach to protein similarity analysis,M,S
A.A. Araujo,An image-matching approach to protein similarity analysis,M,S
C.H. Silveira,An image-matching approach to protein similarity analysis,M,S
G.T. Silva,Image formation in vibro-acoustography with sector array transducers,M,S
A.C. Frery,Image formation in vibro-acoustography with sector array transducers,M,S
J.M.S. Dias,OGRE - open gestures recognition engine,M,S
P. Nande,OGRE - open gestures recognition engine,M,S
N. Barata,OGRE - open gestures recognition engine,M,S
P.V.K. Borges,Informed position based watermarking,M,S
C.A.Z. Barcelos,Level lines continuation based digital inpainting,F,S
M.A. Batista,Level lines continuation based digital inpainting,M,S
A.M. Martins,Level lines continuation based digital inpainting,M,S
A.G. Silva,Detection of lines using hierarchical region based representation,NULL,S
F.P.G. Bergo,Image segmentation by tree pruning,M,S
P.A.V. Miranda,Image segmentation by tree pruning,M,S
C.R. Jung,A robust linear-parabolic model for lane following,M,S
C.R. Kelber,A robust linear-parabolic model for lane following,M,S
J.J. de Oliveira,Handwritten recognition with multiple classifiers for restricted lexicon,M,S
C.O.A. Freitas,Handwritten recognition with multiple classifiers for restricted lexicon,M,S
J.M. de Carvalho,Handwritten recognition with multiple classifiers for restricted lexicon,M,S
R. Sabourin,Handwritten recognition with multiple classifiers for restricted lexicon,M,S
L.F. Eiterer,Postal envelope address block location by fractal-based approach,M,S
M.R.P. Homem,Skeletonization of two-dimensional shapes via fast numerical calculation of vector fields,M,S
L.F. Costa,Skeletonization of two-dimensional shapes via fast numerical calculation of vector fields,M,S
N.D.A. Mascarenhas,Skeletonization of two-dimensional shapes via fast numerical calculation of vector fields,M,S
C.R. Jung,Rectangle detection based on a windowed Hough transform,M,S
R. Schramm,Rectangle detection based on a windowed Hough transform,M,S
M.D. Almeida Oliveira,Reconnection of fingerprint ridges based on morphological operators and multiscale directional information,F,S 
N.J. Leite,Reconnection of fingerprint ridges based on morphological operators and multiscale directional information,M,S
R. Audigier,On integrating iterative segmentation by watershed with tridimensional visualization of MRIs,M,S
R. Lotufo,On integrating iterative segmentation by watershed with tridimensional visualization of MRIs,M,S
A.B. Huguet,Color-based watershed segmentation of low-altitude aerial images,NULL,S
M.C. de Andrade,Color-based watershed segmentation of low-altitude aerial images,M,S
A.A. Araujo,Color-based watershed segmentation of low-altitude aerial images,M,S
F.C. Flores,Color image gradients for morphological segmentation: the weighted gradient improved by automatic imposition of weights,M,S
A.M. Polidorio,Color image gradients for morphological segmentation: the weighted gradient improved by automatic imposition of weights,M,S
D.C. Martins,W-operator window design by maximization of training data information,M,S
R.M. Cesar,W-operator window design by maximization of training data information,M,S
R. Carceroni,Underwater stereo,M,S
L.C.G. Andrade,A video-based support system for nighttime navigation in semi-structured environments,M,S
J.L. Fernandes,From photometric-motion to shape from shading,M,S
P.E. Ferreira,Data-based motion simulation through a Green's function approach,M,S
P.C.P. Carvalho,Data-based motion simulation through a Green's function approach,M,S
F.G.M. Silva,Interactive editing of multiresolution meshes,M,S
A.J.P. Gomes,Interactive editing of multiresolution meshes,M,S
P.C. Carvalho,Geodesic paths on triangular meshes,M,S
T. Lewiner,Efficient Edgebreaker for surfaces of arbitrary topology,M,S
H. Lopes,Efficient Edgebreaker for surfaces of arbitrary topology,M,S
R. Marroquim,Multi-resolution triangulations with adaptation to the domain based on physical compression,M,S
C. Esperanca,Multi-resolution triangulations with adaptation to the domain based on physical compression,M,S
T. Lewiner,Hierarchical isocontours extraction and compression,M,S
H. Lopes,Hierarchical isocontours extraction and compression,M,S
V. Mello,Hierarchical isocontours extraction and compression,M,S
T.F. Hain,"Fast, precise flattening of cubic Bezier segment offset curves",M,S
T. Lewiner,Arc-length based curvature estimator,M,S
J.D. Gomes,Arc-length based curvature estimator,M,S
H. Lopes,Arc-length based curvature estimator,M,S
C. Esperanga,Fast polygonization of variational implicit surfaces,M,S
B.R. de Araujo,Curvature dependent polygonization of implicit surfaces,M,S
J.A.P. Jorge,Curvature dependent polygonization of implicit surfaces,M,S
V.F. de Melo,A deformable surface model on the basis of the theory of a Cosserat surface,M,S
E.W.G. Clua,Software shaders in interactive environments using relief impostors,M,S
B. Feijo,Software shaders in interactive environments using relief impostors,M,S
F. Fonseca,Software shaders in interactive environments using relief impostors,M,S
F. Abraham,A load-balancing strategy for sort-first distributed rendering,M,S
R. Cerqueira,A load-balancing strategy for sort-first distributed rendering,M,S
J.L. Campos,A load-balancing strategy for sort-first distributed rendering,M,S
R.D. da Cunha,Navier-Stokes on programmable graphics hardware using SMAC,M,S
C.A. Pagot,Multiple-depth shadow maps,M,S
M.M. de Oliveira Neto,Multiple-depth shadow maps,M,S
R. Feris,Specular reflection reduction with multi-flash imaging,M,S
R. Raskar,Specular reflection reduction with multi-flash imaging,M,S
V. Theoktisto,On extending collaboration in virtual reality environments,F,S
M.A.F. Rodrigues,Collaborative virtual training using force feedback devices,F,S
R.R.C. Chaves,Collaborative virtual training using force feedback devices,NULL,S
W.B. Silva,Collaborative virtual training using force feedback devices,NULL,S
A.O. Artero,Viz3D: effective exploratory visualization of large multidimensional data sets,M,S
M.C.F. de Oliveira,Viz3D: effective exploratory visualization of large multidimensional data sets,F,S
P.C.P. Carvalho,Motion reconstruction using moments analysis,M,S
R. Farias,Loop snakes: snakes with enhanced topology control,M,S
C. Esperanca,Loop snakes: snakes with enhanced topology control,M,S
C. Vogler,Adaptive deformable models,M,S
