id,keyword
0,VIDEO GAMES
1,IMAGE COLOR ANALYSIS
2,MEDIA
3,OBSERVERS
4,MOTION PICTURES
5,RENDERING (COMPUTER GRAPHICS)
6,SKIN COLOR
7,DARK COLOR
8,DARK SKIN
9,VIRTUAL HUMANS
10,USER EXPERIENCE
11,WHITE COLOR
12,PERCEPTIONS OF PEOPLE
13,WHITE SKIN
14,SOCIAL IDENTITY THEORY
15,RAPID ADVANCES IN TECHNOLOGY
16,UNCANNY VALLEY
17,DARKER SKIN TONES
18,TRANSLUCENT
19,BLACK PEOPLE
20,WORK PARTICIPATION
21,RACIAL IDENTITY
22,IMPLICIT BIAS
23,WHITE PARTICIPANTS
24,COMFORT PERCEPTION
25,INGROUP AND OUTGROUP
26,REAL LEVEL
27,PERCEPTION DATA
28,FREE-TEXT FIELDS
29,FAIR USE
30,VIRTUAL BODY
31,PIPELINES
32,GRAPHICS PROCESSING UNITS
33,NEURAL PATHWAYS
34,REAL-TIME SYSTEMS
35,RESOURCE MANAGEMENT
36,DTI-BASED TRACTOGRAPHY
37,TRACKING ALGORITHM
38,EIGENVALUES
39,WHITE MATTER
40,MOTOR NEURONS
41,FLIP ANGLE
42,DIFFUSION TENSOR IMAGING
43,FIRST PASS
44,MULTI-CORE
45,ECHO-PLANAR IMAGING
46,PRIMARY MOTOR CORTEX
47,FIBER TRACTS
48,DIFFUSION DIRECTIONS
49,POSTERIOR LIMB
50,CENTRUM SEMIOVALE
51,DECUSSATION
52,KERNEL COMPUTATION
53,3D TEXTURE
54,SOLID MODELING
55,THREE-DIMENSIONAL DISPLAYS
56,CURRENT MEASUREMENT
57,SHAPE MEASUREMENT
58,ISO
59,MEASUREMENT UNCERTAINTY
60,ANTHROPOMETRIC
61,3D SCANNING
62,3D MESH
63,STANDARD ERROR OF MEASUREMENT
64,PROCESSING TIME
65,INTRACLASS CORRELATION COEFFICIENT
66,QUALITY MEASURES
67,MEASUREMENT TECHNIQUES
68,ADAM OPTIMIZER
69,BODY SHAPE
70,BOUNDING BOX
71,INTERSECTION POINT
72,FEMALE BODY
73,MEAN ABSOLUTE DEVIATION
74,FITTING PROCESS
75,AUTOMATIC MEASUREMENT
76,INTERSECTION OF PLANES
77,VISUALIZATION
78,MACHINE LEARNING ALGORITHMS
79,PERTURBATION METHODS
80,DECISION MAKING
81,CLASSIFICATION ALGORITHMS
82,RELIABILITY
83,DOMAIN EXPERTS
84,PREDICTION MODEL
85,MODEL PERFORMANCE
86,IMPORTANT CHARACTERISTICS
87,MACHINE LEARNING MODELS
88,SCOLIOSIS
89,MODEL INTERPRETATION
90,DECISION MODEL
91,DETAILED VIEW
92,CONTRIBUTION OF FEATURES
93,SPONDYLOLISTHESIS
94,COLOR HUE
95,PELVIC TILT
96,CLASSIFICATION CONFUSION
97,PSO ALGORITHM
98,LANDSLIDES
99,VISUAL ANALYTICS
100,URBAN PLANNING
101,DATA INTEGRATION
102,COLLABORATION
103,SURFACES
104,CLIMATE CHANGE
105,VISUAL ANALYSIS
106,HETEROGENEOUS DATA
107,URBAN DATA
108,VISUAL SYSTEM
109,RISK AREAS
110,MATHEMATICAL DESCRIPTION
111,FLOOD RISK
112,INFORMAL SETTLEMENTS
113,TRIANGULAR MESH
114,URBANIZATION
115,DIGITAL ELEVATION MODEL
116,VECTOR DATA
117,COLLECTION QUALITY
118,SHUTTLE RADAR TOPOGRAPHY MISSION
119,OPENSTREETMAP
120,RASTER DATA
121,SPATIOTEMPORAL DATASETS
122,SPATIOTEMPORAL DATA
123,RASTER DATASETS
124,LANDSLIDE RISK
125,SPATIOTEMPORAL INFORMATION
126,TERRAIN HEIGHT
127,EXTERNAL RING
128,FLOOD OCCURRENCE
129,FILTERING
130,URBAN AREAS
131,FINANCE
132,REGULATION
133,HURRICANES
134,LAND USE
135,GEOGRAPHIC REGIONS
136,LAND UNITS
137,HURRICANE SANDY
138,ANALYSIS OF SUCH DATA
139,EXPLORATION OF CHANGES
140,HIERARCHICAL NATURE OF THE DATA
141,HURRICANE DAMAGE
142,NEW BUILDING
143,GEOGRAPHICAL UNITS
144,NEIGHBORHOOD LEVEL
145,LAND VALUE
146,OFFICE BUILDINGS
147,OFFICE SPACE
148,BLOCK LEVEL
149,NEW YORK CITY
150,BUILDING SIZE
151,LINE CHART
152,MATRIX LINE
153,VISUAL INTERFACE
154,FLOOD INSURANCE
155,DISTRICT COMMUNITY
156,MAP VIEW
157,GEOMETRY
158,COMPUTATIONAL MODELING
159,VISUAL EFFECTS
160,SMOKE PARTICLES
161,EFFECT OF PARTICLES
162,HOARDING
163,NUMBER OF GAMES
164,SOLID OBJECTS
165,SOLID COLOR
166,PRODUCTIVITY
167,PROTOTYPES
168,POWER SYSTEM STABILITY
169,THREE-DIMENSIONAL PRINTING
170,COST FUNCTION
171,3D PRINTING
172,ADDITIVE MANUFACTURING
173,FITNESS FUNCTION
174,ROTATION ANGLE
175,FINAL OBJECTIVE
176,OBJECT PARTS
177,MATERIAL CONSUMPTION
178,INTERNAL VOLUME
179,ROTATION PARAMETERS
180,OPTIMAL PARTITION
181,THIRD POWER
182,OBJECT VOLUME
183,VOLUME DIMENSIONS
184,PRINTING TIME
185,EARTH
186,LAW ENFORCEMENT
187,FACE RECOGNITION
188,AUTHENTICATION
189,FEATURE EXTRACTION
190,MOVER DISTANCE
191,OCCLUDED FACE
192,DEEP LEARNING
193,BIOMETRIC
194,SUNGLASSES
195,LOSS FUNCTION
196,CONVOLUTIONAL NEURAL NETWORK
197,DEEP NEURAL NETWORK
198,LINEAR COMBINATION
199,CONVOLUTIONAL LAYERS
200,FEATURE MAPS
201,LINEAR PROBLEM
202,FACE IMAGES
203,FEATURE CHANNELS
204,IMAGE PATCHES
205,QUERY IMAGE
206,EQUAL ERROR RATE
207,GALLERY IMAGES
208,TWO-STAGE METHOD
209,MASKED FACES
210,COST FLOW
211,FEATURE WEIGHTS
212,OPTIMAL TRANSPORT
213,FALSE ACCEPTANCE RATE
214,TRAINING
215,DATA AUGMENTATION
216,NEURONAL POPULATIONS
217,MAXIMUM ENTROPY
218,FEATURE AUGMENTATION
219,FEATURE REPRESENTATION
220,COMPACT NETWORK
221,HIDDEN LAYER
222,NEGATIVE SAMPLES
223,TARGET CLASS
224,FULLY-CONNECTED LAYER
225,EVALUATION STAGE
226,RELU ACTIVATION
227,UNKNOWN SAMPLES
228,GALLERY SET
229,CATEGORICAL CROSS-ENTROPY LOSS
230,FALSE POSITIVE IDENTIFICATIONS
231,SAMPLE ENTROPY
232,DECISION BOUNDARY
233,BASE LEARNERS
234,COLLECTION NETWORK
235,RANK CANDIDATE
236,POINT CLOUD COMPRESSION
237,ADAPTATION MODELS
238,SENSORS
239,3D RECONSTRUCTION
240,ORAL AND MAXILLOFACIAL SURGERY
241,3D FACE
242,LARGE DATASETS
243,SINGLE IMAGE
244,GEOMETRIC FEATURES
245,DISCRIMINATIVE FEATURES
246,FACIAL FEATURES
247,AVAILABILITY OF DATASETS
248,RECOGNITION MODEL
249,PROGRESS IN RECENT YEARS
250,2D IMAGES
251,3D DATA
252,ITERATIVE CLOSEST POINT
253,OBJECT SEGMENTATION
254,FUSION APPROACH
255,PROGRESS IN THE FIELD
256,FACIAL SHAPE
257,HUMAN FACES
258,3D DATASETS
259,INSTANCE SEGMENTATION
260,SYSTEMATICS
261,NAVIGATION
262,POINT CLOUD SEGMENTATION
263,QUALITATIVE ANALYSIS
264,CONFUSION MATRIX
265,SPATIAL DIMENSIONS
266,AUTONOMOUS VEHICLES
267,SEMANTIC LABELS
268,BUILDING INFORMATION MODELLING
269,OBJECT DETECTION
270,TYPES OF ERRORS
271,SEMANTIC SEGMENTATION
272,COLOR MAP
273,SINGLE INSTANCE
274,TABULAR FORM
275,ADDITIONAL BACKGROUND
