Institute of Informatics,,,
Kohn Pedersen Fox Associates PC,Internacional,,
SENAI Innovation Institute for Integrated Solutions in Metalmechanics,,,
Volkweis Dermatologia,,,
Kyndryl Holdings,,,
Motora Technologies,,,
Samsung R&D Brazil,São Paulo,SP,Sudeste
"Hewlett Packard Enterprise, Brazil",São Paulo,SP,Sudeste
"Laboratório de Computação Aplicada, Instituto Tecnológico Vale (iTV), Brazil",Para,PA,Norte
Department of Computer Science,,,
Instituto de engenharia de sistemas e tecnologia da informação,,,
Graduate Program in Biomedical Engineering,,,
Graduate Program in Electrical and Computer Engineering,,,
"Department of Electrical Engineering, Brazil",,,
Clínica Otocenter,,,
AT&T Research,Internacional,,
"Res. in Artificial & Natural Intell., Brazil",,,
"IPA, Brazil",Rio Grande do Sul,RS,Sul
"Wernher von Braun Center, Brazil",São Paulo,SP,Sudeste
"Instituto de Informática, Brazil",Rio Grande do Sul,RS,Sul
"ARTIS/GRAVIR/IMAG-INRIA, Brazil",,,
"Department of Computer Science, ICAD, Inc., Brazil",Rio de Janeiro,RJ,Sudeste
"Department of Mechanical Engineering, ICAD, Inc., Brazil",Rio de Janeiro,RJ,Sudeste
"SDC Engenharia, Brazil",São Paulo,SP,Sudeste
Departamento de Informática do Colégio Objetivo,São Paulo,SP,Sudeste
Leonardo Electronic Almanac (LEA),,,
Ital-TBS,,,
CRS-TBS,,,
Département Electronique de Ecole Nationale Supérieure des Télécommunications,Internacional,,
European Centre for Medium-Range Weather Forecasts (ECMWF),Internacional,,
Equipe Images Numériques et FOrmes DIScrètes du Institut Albert Bonniot,Internacional,,
Laboratoire de L’Informatique du Parallélisme (ENS Lyon),Internacional,,
Laboratório Nacional de Computação Gráfica (LNCC),Rio de Janeiro,RJ,Sudeste
Fundação CTI/IA,São Paulo,SP,Sudeste
Centro Científico Rio da IBM Brasil,Rio de Janeiro,RJ,Sudeste
Department of Computing Mathematics (UWCC),,,
Embrapa Informática Agropecuária (CNPTIA),São Paulo,SP,Sudeste
Departamento de exploração Petrobrás- Petróleo Brasileiro S.A.,Rio de Janeiro,RJ,Sudeste
Laboratório Nacional de Computação Científica (LNCC),Rio de Janeiro,RJ,Sudeste
Departamento de Exploração (Depex) do PETROBRÁS-Petróleo Brasileiro S.A.,Rio de Janeiro,RJ,Sudeste
Núcleo de Monitoramento Ambiental (NMA) da Embrapa,Mato Grosso,MT,Centro-Oeste
Informática Médica do Hospital do Aparelho Locomotor Sarah Kubitscheck,Distrito Federal,DF,Centro-Oeste
IBM Brasil- Centro Científico Rio,Rio de Janeiro,RJ,Sudeste
Centro Científico Rio (CCRio) da IBM Brasil,Rio de Janeiro,RJ,Sudeste
Instituto Superior de Ciências do Trabalho e da Empresa (ISCTE),Internacional,,
Companhia Portuguesa Radio Marconi (CPRM),Internacional,,
Associação para o Desenvolvimento das Telecomunicações e Técnicas de Informática (ADETTI),Internacional,,
Centre d’ Imagerie Médicale Avancé (CIMA) de Université de Technologie de Compiègne (UTC),Internacional,,
Centro Nacional de Pesquisa e Desenvolvimento de Instrumentação Agropecuária (CNPDIA) da Embrapa,São Paulo,SP,Sudeste
Facultad de Ingeniería da Universidad de Mendonza,Internacional,,
Laboratório de CAD Inteligente (ICAD) da PETROBRÁS,Rio de Janeiro,RJ,Sudeste
PROMON Engenharia,São Paulo,SP,Sudeste
IBM Brasil – Centro Científico Rio,Rio de Janeiro,RJ,Sudeste
Fundação Centro Tecnológico para Informática (CTI),São Paulo,SP,Sudeste
Petróleo Brasileiro S.A. (PETROBRÁS),Rio de Janeiro,RJ,Sudeste
Equipamentos e Sistemas de Telecomunicações S.A. (EQUITEL),,,
Consórcio CTI do Banco do Brasil da Embrapa,Distrito Federal,DF,Centro-Oeste
PETROBRÁS,Rio de Janeiro,RJ,Sudeste
