Year,Keyword,Keyword Count,Rank
1988,Sistema De Tratamento De Imagens,4,1
1988,Processamento De Imagens,4,2
1988,Imagens Multiespectrais,4,3
1988,Interpolacao De Imagens,4,4
1988,Interpolacao Por Funcoes Ponderadas,3,5
1988,Metodos De Reconstrucao De Imagens,3,6
1988,Sitim,3,7
1988,Software Para Filtragem Espacial De Imagens,3,8
1988,Sintese De Imagens,3,9
1988,Imagens De Satelite,3,10
1989,Processamento De Imagens,3,1
1989,Processamento Digital De Imagens,3,2
1989,Computacao Grafica,3,3
1989,Projeto Cadmac,3,4
1989,Metodos De Reconstrucao De Imagens,3,5
1989,Sintese De Imagens,3,6
1989,Projeto Logico,3,7
1989,Metodo Ray-Tracing,3,8
1989,Metodo Direto De Fourier,3,9
1989,Analise De Textura,3,10
1990,Processamento Digital De Imagens,5,1
1990,Algoritmos De Coloracao,3,2
1990,Animacao Grafica De Algoritmos,3,3
1990,Imagens Tomograficas,3,4
1990,Imagens Digitais,3,5
1990,Reconhecimento De Caracteres Alfanumericos,3,6
1990,Imagens Coloridas,3,7
1990,Reconhecimento De Caracteres Numericos,3,8
1990,Reconhecimento Optico De Caracteres,3,9
1990,Sistema De Tratamento De Imagens,3,10
1991,Processamento De Imagem,3,1
1991,Radiosidade,2,2
1991,Sistema De Animacao Tridimensional,2,3
1991,Editor Grafico,2,4
1991,Projeto Cadmac,1,5
1991,Processamento De Imagens,1,6
1991,Projeto Geopro,1,7
1991,Projeto Logico,1,8
1991,Projeto See,1,9
1991,Processadores Dsps,1,10
1992,Processamento De Imagem,5,1
1992,Sistema De Animacao Modelada,4,2
1992,Computacao Grafica,4,3
1992,Sistema De Visualizacao,3,4
1992,Sistema De Animacao Tridimensional,3,5
1992,Surface Modeling,3,6
1992,Linguagens De Modelagem,3,7
1992,Ferramentas,3,8
1992,Interfaces Graficas,3,9
1992,Interface Com O Usuario,3,10
1993,Processamento De Imagens,7,1
1993,Modelagem Polygonal,6,2
1993,Algoritmos De Modelagem,6,3
1993,Modelagem De Terrenos,5,4
1993,Tecnicas De Modelagem,5,5
